pl_name,radius_earth,mass_earth,semi_major_axis_au,period_days,insol_earth,t_eq_K,star_teff_K,star_radius_solar,star_mass_solar,source
109 Psc b,12.912767999999998,1825.29769,2.051,1075.4,,,5600.0,1.79,1.13,ExoplanetEU
11 Com Ab,,,1.29,326.03,,,4742.0,19.0,2.7,ExoplanetEU
11 Com b,12.21781,4914.9231199999995,1.178,323.21,,,4874.0,13.76,2.09,NASA
11 UMi b,12.21781,4684.8142,1.53,516.21997,,,4213.0,29.79,2.78,NASA
112 Psc b,,,0.054,4.4,,,5986.0,1.801,1.1,ExoplanetEU
112 Psc c,,3135.71078,22.21,36336.7,,,5986.0,1.801,1.1,ExoplanetEU
14 And Ab,,,0.83,185.84,,,4813.0,11.0,2.2,ExoplanetEU
14 And b,13.002439999999998,1131.15697,0.775,186.76,,,4888.0,11.55,1.78,NASA
14 Her b,12.55408,2559.48499,2.774,1765.0389,,,5338.0,0.93,0.91,NASA
14 Her c,,2510.857,20.0,52160.0,,,5311.0,0.708,0.9,ExoplanetEU
16 Cyg B b,13.4508,565.7374,1.66,798.5,,,5750.0,1.13,1.08,NASA
16 Cyg Bb,,,1.68,799.5,,,5766.0,0.98,1.01,ExoplanetEU
17 Sco b,12.890349999999998,1373.0256,1.45,578.38,,,4157.0,25.92,1.22,NASA
18 Del Ab,,,2.6,993.3,,,4979.0,8.5,2.3,ExoplanetEU
18 Del b,12.55408,2926.26081,2.476,982.85,,,4980.0,8.8,2.1,NASA
1RXS 1609 b,19.0553,4449.62,330.0,,,,4060.0,1.35,0.73,ExoplanetEU
1RXS J103137.1-690205  b,,11600.795,1725.0,,,,4862.13,1.06,0.87,ExoplanetEU
1RXS J105010.3-140431 b,,4767.45,,1.48,,,18500.0,,,ExoplanetEU
1RXS J125608.8-692652 (AB)b,,14143.435,503.0,,,,3971.38,1.831,0.7,ExoplanetEU
1RXS J131752.0-505845 b,,8613.193,5230.0,,,,4154.74,1.326,0.8,ExoplanetEU
1RXS J160929.1-210524 b,18.651775999999998,2542.64,330.0,,,1700.0,4060.0,1.31316,0.85,NASA
1RXS J235133.3+312720 Ab,,10170.56,120.0,,,,,,0.45,ExoplanetEU
1SWASP J1407 b,,,3.9,3725.0,,,4400.0,0.99,0.9,ExoplanetEU
23 Lib b,,,0.81,258.19,,,5740.0,1.25,1.07,ExoplanetEU
23 Lib c,,,5.8,5000.0,,,5740.0,1.25,1.07,ExoplanetEU
24 Boo b,13.89916,280.64389,0.194,30.33,,,4816.0,12.19,1.05,NASA
24 Sex b,13.338709999999999,632.4816999999999,1.333,452.8,,,5098.0,4.9,1.54,NASA
24 Sex c,13.89916,273.3338,2.08,883.0,,,5098.0,4.9,1.54,NASA
270-1954,,5720.94,,,,,,,,ExoplanetEU
2M 1101-7732 A,,15891.5,,,,2838.0,,,,ExoplanetEU
2M 1101-7732 B,,7945.75,240.0,,,2632.0,,,,ExoplanetEU
2M0437 b,13.002439999999998,1271.32,118.0,,,1450.0,3100.0,0.84,0.17,NASA
2M1207 A,39.2315,6324.816999999999,,,,2640.0,,,,ExoplanetEU
2M1207 Ab,15.692599999999999,1748.0649999999998,42.0,,,,,,,ExoplanetEU
2M1510 (AB)b,,9.85273,,100.0,,,,,0.066,ExoplanetEU
2M1510 (AB)c,,5619.234399999999,4.4,10950.0,,,,,,ExoplanetEU
2M1510 A,,10488.39,,20.90769,,,,,,ExoplanetEU
2M1510 B,,10555.1343,,20.90769,,,,,,ExoplanetEU
2M1510 C,17.59813,11918.625,250.0,,,2657.0,,,,ExoplanetEU
2MASS J0001+1535,13.67498,10488.39,,,,1725.0,,,,ExoplanetEU
2MASS J0004-6410,,6095.979399999999,,,,1896.0,,,,ExoplanetEU
2MASS J0010+1715 b,,18275.225,739.0,,,,,,,ExoplanetEU
2MASS J0019-6226,,4729.3104,,,,,6147.0,1.11,1.17,ExoplanetEU
2MASS J0021-4514 b,,9534.9,3900.0,,,,3182.0,0.2198,0.189,ExoplanetEU
2MASS J0030-1450,15.244240000000001,3178.2999999999997,,,,1264.0,,,,ExoplanetEU
2MASS J0031+5749,13.4508,7627.92,,,,1343.0,,,,ExoplanetEU
2MASS J0033-1521,16.028869999999998,9232.9615,,,,1887.0,,,,ExoplanetEU
2MASS J0034+0523,10.53646,13390.1779,,,,899.0,,,,ExoplanetEU
2MASS J00413538-5621127 A,,9534.9,,,,,,,,ExoplanetEU
2MASS J00413538-5621127 B,,4767.45,8.9,45990.0,,,,,,ExoplanetEU
2MASS J0045+1634,18.15858,7217.9193,,,,1987.0,,,,ExoplanetEU
2MASS J0050-3322,10.53646,12821.262200000001,,,,836.0,,,,ExoplanetEU
2MASS J0051-5913 b,,9534.9,462.0,10034580.0,,,3072.0,0.281,0.256,ExoplanetEU
2MASS J0052+0012,,18434.14,,,,,,,,ExoplanetEU
2MASS J0052+0012 b,,11441.88,49.0,,,,,,,ExoplanetEU
2MASS J0103+1935,15.02006,4789.6981,,,,1231.0,,,,ExoplanetEU
2MASS J0103-5515 (AB)b,17.26186,3337.2149999999997,84.0,,,1731.0,,,0.4,ExoplanetEU
